ID,Cultural_Identity,Gender,Country_Region,Undergrad_Degree,Years_Work_Experience,Analytics_Work_Experience,Strength_of_Recommendation,Standardized_Test_Score,Legacy_Admission,Mission_Statement,Admitted
1,Asian,Male,APAC,Information Sciences,-2.84,0,4.08,-0.106756808,0,My parents want me to go to grad school or work. Let me in your program so I don't need a job.,0
2,Asian,Female,APAC,Math + Statistics,0.28,4.7232011691,3.78,0.563522199,1,I aspire to use data to solve intricate problems and drive innovation in various industries. Your program’s comprehensive approach and strong focus on hands-on experience will guide me towards achieving this goal.,1
3,Asian,Male,APAC,Other,-0.60,0,2.81,0.7942198581,0,I am eager to join your program to gain a deeper understanding of analytics.,0
4,Asian,Male,APAC,Other,2.02,0,3.32,0.8753260831,0,I aim to leverage your program’s focus on hands-on learning to gain practical experience in data analytics and apply it to drive business success.,0
5,"White, Non-Hispanic",Female,Americas,Math + Statistics,3.47,0.7121865276,2.78,-2.304699046,0,I think data are great. I need to make lots of money. Please let me join your program!,0
6,"White, Non-Hispanic",Male,Americas,Other,-0.87,0.657088902,5.00,-0.34032082,0,Your program seems like a good opportunity for me to develop my skills in analytics.,0
7,"White, Non-Hispanic",Female,EMEA,Other,2.94,0.390550999,2.78,-0.918115901,0,,0
8,"White, Non-Hispanic",Male,Americas,Economics,4.50,0.6826159488,2.44,0.1253526266,0,"I am excited to join your program to explore the intersection of data analytics and artificial intelligence, leveraging cutting-edge techniques to drive innovation.",1
9,"White, Non-Hispanic",Female,EMEA,Analytics,0.59,1.2176377383,3.95,0.4683942097,0,I am interested in analytics and think your program can provide the training I need.,0
10,"White, Non-Hispanic",Male,EMEA,Information Sciences,4.61,0,2.78,-0.948032967,0,I wanna join cuz analytics is cool and I like data. Your program is good.,0
11,Asian,Female,APAC,Economics,1.04,0,2.59,-0.131397803,0,Your program looks nice and I want to join. I like analytics and want to learn.,0
12,Asian,Female,APAC,Economics,0.37,1.7397978105,4.91,-0.4638717,1,"I love data and analytics, your program is good, and I want to join.",0
